#;Number;Year;Month;Date;Customer;Net amount;Tax;Total amount
7439;7439;2004;8;2004-08-07;JMSMAE MNALRMLAMO;320,570;26,450;347,020
7440;7440;2004;8;2004-08-28;KKLFEH ZCNHDPVNCO;26,980;2,230;29,210
7441;7441;2004;8;2004-08-04;RMTEIJ EXWWEYKXHL;85,250;7,030;92,280
7442;7442;2004;8;2004-08-17;AKFQGF ETKGYJEAUY;379,060;31,270;410,330
7443;7443;2004;8;2004-08-04;TQJTFW ZZLBJDGBVO;319,300;26,340;345,640
7444;7444;2004;8;2004-08-21;MCKBCV GWWATYJEDC;248,580;20,510;269,090
7445;7445;2004;8;2004-08-09;ESGWPK AHFSCFHRXS;97,130;8,010;105,140
7446;7446;2004;8;2004-08-21;UJHRQO BFFZUDKCTL;139,430;11,500;150,930
7447;7447;2004;8;2004-08-21;BZCHLZ PXFFREACCY;171,060;14,110;185,170
7448;7448;2004;8;2004-08-03;NLCXGI KDCTUFQGIH;288,390;23,790;312,180
7449;7449;2004;8;2004-08-28;QRYOWV FBSHMTIGOS;219,830;18,140;237,970
7450;7450;2004;8;2004-08-01;PKNKKW PIIJPKGAXY;357,350;29,480;386,830
7451;7451;2004;8;2004-08-10;UKPEXU WDUDPOTQTY;286,160;23,610;309,770
7452;7452;2004;8;2004-08-09;XZSEFB IPFFAJUNPN;112,000;9,240;121,240
7453;7453;2004;8;2004-08-07;CFQIWS IEKHNNIPHK;124,110;10,240;134,350
7454;7454;2004;8;2004-08-24;PSTMBU LADFWKOQGN;329,380;27,170;356,550
7455;7455;2004;8;2004-08-20;HVNWJC DEAPACLQGB;353,710;29,180;382,890
7456;7456;2004;8;2004-08-11;LNQRSV OHCPTZVAUE;376,210;31,040;407,250
7457;7457;2004;8;2004-08-27;TYHVBS PECKWTHSNM;106,920;8,820;115,740
7458;7458;2004;8;2004-08-21;XCVDJN BDLZOFJDRG;292,960;24,170;317,130
7459;7459;2004;8;2004-08-03;DJFBSX RCOGIIVCJO;285,640;23,570;309,210
7460;7460;2004;8;2004-08-29;SWFUJE DZICKDFGQO;325,120;26,820;351,940
7461;7461;2004;8;2004-08-17;BDLNSF PTLNOVYDPI;246,710;20,350;267,060
7462;7462;2004;8;2004-08-17;PYBTTO JDWVIVLRXQ;257,990;21,280;279,270
7463;7463;2004;8;2004-08-20;GWVMMY LTDWBEWXWN;314,330;25,930;340,260
7464;7464;2004;8;2004-08-27;WSPGOE MUJJQPTNQT;176,420;14,550;190,970
7465;7465;2004;8;2004-08-27;FOFROO UCUVECVETS;131,550;10,850;142,400
7466;7466;2004;8;2004-08-29;OAOCGE ZXXBRSCIDZ;369,610;30,490;400,100
7467;7467;2004;8;2004-08-18;BHCKEF HBMWPUSXSI;199,740;16,480;216,220
7468;7468;2004;8;2004-08-15;RJQHWW PKMYLTMKDR;109,240;9,010;118,250
7469;7469;2004;8;2004-08-11;YKKHLI ZLKBDAFWST;144,420;11,910;156,330
7470;7470;2004;8;2004-08-28;VEBAYH DVFGJEJUVU;180,170;14,860;195,030
7471;7471;2004;8;2004-08-20;HMNIKJ YRNRDZQRYG;326,220;26,910;353,130
7472;7472;2004;8;2004-08-22;JVONZA GVDFORVIKP;121,250;10,000;131,250
7473;7473;2004;8;2004-08-21;KURNEO NQDXZNISUS;51,660;4,260;55,920
7474;7474;2004;8;2004-08-25;WFIKKO LYNVVCOLZP;289,200;23,860;313,060
7475;7475;2004;8;2004-08-08;FTKGBP KMLXPPMDRN;257,690;21,260;278,950
7476;7476;2004;8;2004-08-15;RCFPVJ KIDFKTOYXV;371,940;30,690;402,630
7477;7477;2004;8;2004-08-10;TXXBFK PIUVEBXBZQ;148,600;12,260;160,860
7478;7478;2004;8;2004-08-02;XCOMWB CCTWIPWLNX;334,040;27,560;361,600
7479;7479;2004;8;2004-08-08;JFTLQO GFQKGRQOBG;162,100;13,370;175,470
7480;7480;2004;8;2004-08-26;NZHLGS MWFAZXLCFY;292,510;24,130;316,640
7481;7481;2004;8;2004-08-17;WIXHFQ AJFBNRETBU;355,930;29,360;385,290
7482;7482;2004;8;2004-08-02;CBKBGS BMPFNMYZZM;155,090;12,790;167,880
7483;7483;2004;8;2004-08-10;TRLLQR SKCANJRPVV;318,020;26,240;344,260
7484;7484;2004;8;2004-08-18;IDXDCR JLRZXHPUMI;51,880;4,280;56,160
7485;7485;2004;8;2004-08-20;WURNGE ZKTZEGDMID;56,730;4,680;61,410
7486;7486;2004;8;2004-08-17;CPGDZI AUIJZFOOWY;283,200;23,360;306,560
7487;7487;2004;8;2004-08-13;VDXRJM MNCYFXKOVR;252,820;20,860;273,680
7488;7488;2004;8;2004-08-06;FYMXVX JZCIYUDQGK;119,500;9,860;129,360
7489;7489;2004;8;2004-08-15;DFPLAC GOGHMPMNTP;335,190;27,650;362,840
7490;7490;2004;8;2004-08-23;UGYASP YWJOUYCZEW;211,840;17,480;229,320
7491;7491;2004;8;2004-08-08;XDEIXV DOEIDRHTEA;27,850;2,300;30,150
7492;7492;2004;8;2004-08-10;BNUEQG FRZJBMIGWD;63,610;5,250;68,860
7493;7493;2004;8;2004-08-28;BAOEPK GEZMEIRZGW;158,350;13,060;171,410
7494;7494;2004;8;2004-08-25;CFCIEL MAQDMPBTOF;349,620;28,840;378,460
7495;7495;2004;8;2004-08-02;JYBCUR RILNSKDNGH;375,730;31,000;406,730
7496;7496;2004;8;2004-08-29;LXOGJY YEPRXEDZQI;277,970;22,930;300,900
7497;7497;2004;8;2004-08-12;ZRQBGJ FJFMANQCZL;211,230;17,430;228,660
7498;7498;2004;8;2004-08-09;RCFDCW IPGWEPGHTC;232,910;19,220;252,130
7499;7499;2004;8;2004-08-01;HVQFDN HSOIIMVZJA;378,590;31,230;409,820
7500;7500;2004;8;2004-08-17;TCJTNU SQNKPVTWTI;151,590;12,510;164,100
7501;7501;2004;8;2004-08-18;VVRAMT NLLQIXUAEV;148,510;12,250;160,760
7502;7502;2004;8;2004-08-31;QPMOTA WOGQMPLSXO;197,750;16,310;214,060
7503;7503;2004;8;2004-08-10;JZZMZX GOEEECAEJG;112,260;9,260;121,520
7504;7504;2004;8;2004-08-28;WNNKJZ NFHEMYJWKJ;148,500;12,250;160,750
7505;7505;2004;8;2004-08-01;YVHDFX COQOEOHCRB;242,260;19,990;262,250
7506;7506;2004;8;2004-08-01;UUZWAN GIFDSBIYQG;91,880;7,580;99,460
7507;7507;2004;8;2004-08-19;KYVIYV RZHWYJIFVM;190,910;15,750;206,660
7508;7508;2004;8;2004-08-09;QJLFMT WVVPVFRMRP;362,920;29,940;392,860
7509;7509;2004;8;2004-08-09;DVZZEL ZLGETACSVG;332,110;27,400;359,510
7510;7510;2004;8;2004-08-06;MWCRNK BTGHTXUJII;376,990;31,100;408,090
7511;7511;2004;8;2004-08-23;VVRHPM SHAZAIYKUS;328,530;27,100;355,630
7512;7512;2004;8;2004-08-29;CFEKOX QEAGIOWUKI;385,130;31,770;416,900
7513;7513;2004;8;2004-08-24;MZILRJ CTAPFSXLSA;330,170;27,240;357,410
7514;7514;2004;8;2004-08-25;PDMGZC NYAWTLTPWP;220,340;18,180;238,520
7515;7515;2004;8;2004-08-09;IVWQZZ FSUECUNOKA;38,730;3,200;41,930
7516;7516;2004;8;2004-08-27;BHFPXO JJCMNLTGCF;45,480;3,750;49,230
7517;7517;2004;8;2004-08-30;FKLVJK IBAAKWZUBL;259,600;21,420;281,020
7518;7518;2004;8;2004-08-25;MWUDYZ WIHRGBQFMG;166,690;13,750;180,440
7519;7519;2004;8;2004-08-22;XSLJPN OKAMQNEJYN;54,620;4,510;59,130
7520;7520;2004;8;2004-08-12;SYXWJQ UNCKIZFRDN;376,390;31,050;407,440
7521;7521;2004;8;2004-08-16;ZEPPZW DPQWADGCDK;69,790;5,760;75,550
7522;7522;2004;8;2004-08-12;IIEYOJ KAFTLZAFJZ;186,050;15,350;201,400
7523;7523;2004;8;2004-08-26;XYEIEQ DHGWKQWMCG;395,470;32,630;428,100
7524;7524;2004;8;2004-08-21;JMGDYG MKDLUKIFUH;257,970;21,280;279,250
7525;7525;2004;8;2004-08-13;MVGNWL KIJXMWVGQZ;84,030;6,930;90,960
7526;7526;2004;8;2004-08-04;JDYPZK SFUCBMLLUM;121,600;10,030;131,630
7527;7527;2004;8;2004-08-15;VOANWL VUFOVXNKHC;364,150;30,040;394,190
7528;7528;2004;8;2004-08-02;WUFCWH JZCZNIPPLB;172,410;14,220;186,630
7529;7529;2004;8;2004-08-03;AFDUHI EIYDLMKELL;79,920;6,590;86,510
7530;7530;2004;8;2004-08-25;KLOXZV FFOPFHOMLH;215,210;17,750;232,960
7531;7531;2004;8;2004-08-30;GRIYIY KZABLVQAPF;250,440;20,660;271,100
7532;7532;2004;8;2004-08-28;EKGZAW YXVFGDBYQH;366,730;30,260;396,990
7533;7533;2004;8;2004-08-29;ZVFJTZ KDSBMEVTVR;330,400;27,260;357,660
7534;7534;2004;8;2004-08-22;MHOXNQ OFZLZHSNAZ;22,230;1,830;24,060
7535;7535;2004;8;2004-08-25;INLXZC TJFCNHJAWI;305,990;25,240;331,230
7536;7536;2004;8;2004-08-19;JZWEWQ TFIBDYSJOM;218,350;18,010;236,360
7537;7537;2004;8;2004-08-25;BCSZWM LBZAJPLCTO;333,560;27,520;361,080
7538;7538;2004;8;2004-08-01;TLWZJJ JMWRXXJCDQ;385,270;31,780;417,050
7539;7539;2004;8;2004-08-12;WXIHOH ACKYQRRLQM;37,040;3,060;40,100
7540;7540;2004;8;2004-08-16;MCAEUM KEGZYQOEGY;8,820;0,730;9,550
7541;7541;2004;8;2004-08-19;DTCBKJ ZFRKPDRTXP;51,460;4,250;55,710
7542;7542;2004;8;2004-08-24;NJWJZQ SUAQGNVFGK;230,330;19,000;249,330
7543;7543;2004;8;2004-08-27;JRVJVP QNLXQLVBUV;38,870;3,210;42,080
7544;7544;2004;8;2004-08-11;RJSGEO KIJXIPBXBY;17,150;1,410;18,560
7545;7545;2004;8;2004-08-31;HPXWIG ICOPDCVHRT;256,810;21,190;278,000
7546;7546;2004;8;2004-08-31;AIJTAQ IYDUFFIUMJ;218,960;18,060;237,020
7547;7547;2004;8;2004-08-16;CKQAJF PBQYWGEFHZ;131,150;10,820;141,970
7548;7548;2004;8;2004-08-24;XKAQLI LMBOCSPRQA;146,150;12,060;158,210
7549;7549;2004;8;2004-08-03;BXGYEL ZGWYLICHRL;331,120;27,320;358,440
7550;7550;2004;8;2004-08-19;VBAVCK VMCKRQFAXB;320,080;26,410;346,490
7551;7551;2004;8;2004-08-16;LAWZHS ZKYLCDCXCK;222,700;18,370;241,070
7552;7552;2004;8;2004-08-22;HFKAFD XWGRGOCBLD;31,820;2,630;34,450
7553;7553;2004;8;2004-08-15;ZRNWWH GUVWSLARON;121,440;10,020;131,460
7554;7554;2004;8;2004-08-18;RHCBAX LDHHSHEKFS;333,770;27,540;361,310
7555;7555;2004;8;2004-08-13;IGBYTK LJRQFTCWMX;388,070;32,020;420,090
7556;7556;2004;8;2004-08-13;RDZULF NUGALUAOLO;338,350;27,910;366,260
7557;7557;2004;8;2004-08-02;NSKVXF TOAPLIUSCM;236,490;19,510;256,000
7558;7558;2004;8;2004-08-19;QFVLVT NESTGUZQYD;188,030;15,510;203,540
7559;7559;2004;8;2004-08-27;DAHTVV ACLLBIWQFT;299,660;24,720;324,380
7560;7560;2004;8;2004-08-18;PASCKC QLHQPBYWJU;343,380;28,330;371,710
7561;7561;2004;8;2004-08-04;XODQLY USYGTAAEVK;207,720;17,140;224,860
7562;7562;2004;8;2004-08-10;YKAVBU AJWDHOMWAP;396,240;32,690;428,930
7563;7563;2004;8;2004-08-22;XQRVWK JWAUFVMIHZ;196,130;16,180;212,310
7564;7564;2004;8;2004-08-06;PNAILI EDMQCVVBVI;155,230;12,810;168,040
7565;7565;2004;8;2004-08-11;XEGQAH PAOKFYMRML;253,060;20,880;273,940
7566;7566;2004;8;2004-08-16;RBTFQF ZBKOABMGKM;105,620;8,710;114,330
7567;7567;2004;8;2004-08-15;LZYQLU HDNHFTJFIJ;337,030;27,800;364,830
7568;7568;2004;8;2004-08-09;SPATSW OXFBWTJBAF;265,760;21,930;287,690
7569;7569;2004;8;2004-08-09;JZWEWQ TFIBDYSJOM;48,290;3,980;52,270
7570;7570;2004;8;2004-08-28;AIUVYY XDTVIZFPVW;213,480;17,610;231,090
7571;7571;2004;8;2004-08-12;BCHRRJ XRQBUXWAGL;105,830;8,730;114,560
7572;7572;2004;8;2004-08-05;KPIVXQ JGNILTZHTB;326,350;26,920;353,270
7573;7573;2004;8;2004-08-17;BKZRAZ FMWSOZCYPI;24,500;2,020;26,520
7574;7574;2004;8;2004-08-15;JPOSAJ MCKFKKXBGX;28,430;2,350;30,780
7575;7575;2004;8;2004-08-16;ZYAFQH RTNQODLTKI;95,270;7,860;103,130
7576;7576;2004;8;2004-08-24;QKFPZT IIDMVYGBDE;234,130;19,320;253,450
7577;7577;2004;8;2004-08-09;UXQJXD ANNRQVZXET;201,990;16,660;218,650
7578;7578;2004;8;2004-08-21;VBQIQX DULSVHHKOD;154,090;12,710;166,800
7579;7579;2004;8;2004-08-05;DFTCKD XLHYHSSAAN;346,300;28,570;374,870
7580;7580;2004;8;2004-08-10;GERCDF KSCPINEKBW;379,120;31,280;410,400
7581;7581;2004;8;2004-08-21;ZDJZYC VSHNQXVXLR;295,300;24,360;319,660
7582;7582;2004;8;2004-08-10;BKLMHJ ABGBDXYYGH;214,130;17,670;231,800
7583;7583;2004;8;2004-08-28;MKKGGM NXGLEPTFPS;207,020;17,080;224,100
7584;7584;2004;8;2004-08-14;LYSGCN VMUHMCOMND;318,860;26,310;345,170
7585;7585;2004;8;2004-08-29;VTOVYB UNIEILETPJ;177,650;14,660;192,310
7586;7586;2004;8;2004-08-05;GUAOLO KIHTNFOVZM;182,940;15,090;198,030
7587;7587;2004;8;2004-08-22;VOPUOD LDZAXJJTID;64,290;5,300;69,590
7588;7588;2004;8;2004-08-30;TFBFDB OCSYSFCDMT;192,470;15,880;208,350
7589;7589;2004;8;2004-08-25;ZXWIBI PFKWQFQAQA;381,250;31,450;412,700
7590;7590;2004;8;2004-08-30;QHCJLR YOANSYERRT;381,310;31,460;412,770
7591;7591;2004;8;2004-08-11;HEZRTK DJZSPVWVJD;323,780;26,710;350,490
7592;7592;2004;8;2004-08-25;SEWNBA RWFVMSZXUY;5,880;0,490;6,370
7593;7593;2004;8;2004-08-02;KQDONW ZGBMQAQYWE;93,440;7,710;101,150
7594;7594;2004;8;2004-08-27;GRIJHQ WXGOBAXQKS;224,740;18,540;243,280
7595;7595;2004;8;2004-08-08;NKIYRB LSYGHHNQUK;301,230;24,850;326,080
7596;7596;2004;8;2004-08-10;ZJIQWB GAZAFUDZNU;305,380;25,190;330,570
7597;7597;2004;8;2004-08-13;QVQHLY ISPJRPGTPU;322,680;26,620;349,300
7598;7598;2004;8;2004-08-31;JLDEPM GOFOZMFPDE;96,010;7,920;103,930
7599;7599;2004;8;2004-08-29;NOOFCS APYWMWVWDH;159,420;13,150;172,570
7600;7600;2004;8;2004-08-16;ETHPDV AMJSFOICRS;259,430;21,400;280,830
7601;7601;2004;8;2004-08-22;AIUVYY XDTVIZFPVW;105,650;8,720;114,370
7602;7602;2004;8;2004-08-28;NOAZRB RKBXALNWQF;362,100;29,870;391,970
7603;7603;2004;8;2004-08-20;EOGSHP KLJLJRTLWB;52,310;4,320;56,630
7604;7604;2004;8;2004-08-16;DQCEWW COBTFILTAM;47,090;3,880;50,970
7605;7605;2004;8;2004-08-09;KRMEGA DWEXRPUMQF;168,710;13,920;182,630
7606;7606;2004;8;2004-08-02;PXZHGH EFHLFYAFNM;291,810;24,070;315,880
7607;7607;2004;8;2004-08-03;FYUFVQ VQVIMTSNJX;203,320;16,770;220,090
7608;7608;2004;8;2004-08-03;MAODCQ CKQBSTWBQT;343,440;28,330;371,770
7609;7609;2004;8;2004-08-18;DHPQPI QTMJFWFMTT;13,650;1,130;14,780
7610;7610;2004;8;2004-08-09;PVPFXJ UIOQICIPGB;227,630;18,780;246,410
7611;7611;2004;8;2004-08-03;NGJPCP VOQAPQGOPK;343,240;28,320;371,560
7612;7612;2004;8;2004-08-31;DXSOHQ ZYGTEVWFZV;17,830;1,470;19,300
7613;7613;2004;8;2004-08-27;YSOYDX FHBHANFMXX;393,210;32,440;425,650
7614;7614;2004;8;2004-08-10;NSPGDB LDTUPKDUHD;71,120;5,870;76,990
7615;7615;2004;8;2004-08-09;QXDYQU QGJCUEUMPD;163,710;13,510;177,220
7616;7616;2004;8;2004-08-14;OWHEKW MVTRBBFDVO;252,970;20,870;273,840
7617;7617;2004;8;2004-08-19;ILMYPH RBFYNDKJOJ;20,270;1,670;21,940
7618;7618;2004;8;2004-08-17;DCTWIW JZUJQBBGEY;50,220;4,140;54,360
7619;7619;2004;8;2004-08-06;QGHGVQ OXPPAGEKOL;317,200;26,170;343,370
7620;7620;2004;8;2004-08-02;KCCPRN YALGQMERLK;356,360;29,400;385,760
7621;7621;2004;8;2004-08-07;DNXGMR WHHNUYZYJZ;369,870;30,510;400,380
7622;7622;2004;8;2004-08-28;CYXKVQ IKPMJFMVIZ;161,660;13,340;175,000
7623;7623;2004;8;2004-08-26;KGIRDM RXLVBQCIRJ;172,760;14,250;187,010
7624;7624;2004;8;2004-08-04;BKREVJ ECZQQAKHWD;30,390;2,510;32,900
7625;7625;2004;8;2004-08-29;MAVMHE UOORRHYKPA;347,280;28,650;375,930
7626;7626;2004;8;2004-08-10;EZTTBB BTAHFFVUBZ;156,470;12,910;169,380
7627;7627;2004;8;2004-08-06;COWJDM LZRDVZDMNL;111,670;9,210;120,880
7628;7628;2004;8;2004-08-30;WEXKKN YOVDISRFXM;126,770;10,460;137,230
7629;7629;2004;8;2004-08-04;CYNDNM LVBIBCJQFY;261,660;21,590;283,250
7630;7630;2004;8;2004-08-04;IYZUAI GOKAEQZLGP;102,530;8,460;110,990
7631;7631;2004;8;2004-08-21;NLGEID KVHIHETHLW;265,780;21,930;287,710
7632;7632;2004;8;2004-08-17;LSXLAX NCMBIGBRCJ;77,690;6,410;84,100
7633;7633;2004;8;2004-08-11;WIVYMR OAWLVQCZQL;346,780;28,610;375,390
7634;7634;2004;8;2004-08-01;AQTATW ZIMVBDRNBR;154,320;12,730;167,050
7635;7635;2004;8;2004-08-14;EIHXXY ZGOSQYNDRN;210,420;17,360;227,780
7636;7636;2004;8;2004-08-06;SMFQFB UCWZHJOZIB;179,120;14,780;193,900
7637;7637;2004;8;2004-08-14;RQISEP KHYWBWHGFB;113,060;9,330;122,390
7638;7638;2004;8;2004-08-16;ALJQWC AFEPFEDQMS;42,760;3,530;46,290
7639;7639;2004;8;2004-08-22;TXXBFK PIUVEBXBZQ;196,390;16,200;212,590
7640;7640;2004;8;2004-08-22;GRILDP FSDRWIIOJO;322,900;26,640;349,540
7641;7641;2004;8;2004-08-31;VKCPJS YZCORYKVTZ;273,370;22,550;295,920
7642;7642;2004;8;2004-08-25;DTPUYH HGEMENBBNK;133,640;11,030;144,670
7643;7643;2004;8;2004-08-07;XMTYON BYNXOQNCLU;329,970;27,220;357,190
7644;7644;2004;8;2004-08-14;YYGDON MFKJLPGAOS;266,140;21,960;288,100
7645;7645;2004;8;2004-08-03;HHZXIB WLOLQIJZDT;146,180;12,060;158,240
7646;7646;2004;8;2004-08-03;OHUGRO JLVGBTNMOW;109,540;9,040;118,580
7647;7647;2004;8;2004-08-23;KHVPYS KFSPZVZKGH;10,690;0,880;11,570
7648;7648;2004;8;2004-08-03;JRWZIK FPRNJOJPVW;60,950;5,030;65,980
7649;7649;2004;8;2004-08-25;PVUIQH QILDJVDYHV;70,180;5,790;75,970
7650;7650;2004;8;2004-08-18;TYZXSD DRQJUIURDW;254,790;21,020;275,810
7651;7651;2004;8;2004-08-16;YKYZLJ SMXIIRSTLK;263,910;21,770;285,680
7652;7652;2004;8;2004-08-29;PDDHVX IUWUKOZLMN;386,380;31,880;418,260
7653;7653;2004;8;2004-08-09;PIZZAZ CTYAKYRPZE;45,200;3,730;48,930
7654;7654;2004;8;2004-08-13;TZHYKN YTSEAZBQMW;162,470;13,400;175,870
7655;7655;2004;8;2004-08-12;TKDNHH DAIJFBXXLV;153,460;12,660;166,120
7656;7656;2004;8;2004-08-01;XJMJHN VMMDKIXGNJ;35,430;2,920;38,350
7657;7657;2004;8;2004-08-08;MLDFXZ SNQUOWGQAY;388,840;32,080;420,920
7658;7658;2004;8;2004-08-17;ENNKKH TDXHPVRPEC;34,120;2,810;36,930
7659;7659;2004;8;2004-08-03;FCKHFT PCWYSMPVXO;305,090;25,170;330,260
7660;7660;2004;8;2004-08-22;QNQBWX FJGUXOXRKQ;203,940;16,830;220,770
7661;7661;2004;8;2004-08-14;XYHCGO ZRKZARUMLX;292,750;24,150;316,900
7662;7662;2004;8;2004-08-16;DCTVPE IAAOJCUWMR;56,520;4,660;61,180
7663;7663;2004;8;2004-08-05;NVRHEW QHDWVHNINH;322,040;26,570;348,610
7664;7664;2004;8;2004-08-27;DTZJKL BEXJLQYOCZ;0,500;0,040;0,540
7665;7665;2004;8;2004-08-22;XTAVKS RQNXGTOGPY;352,860;29,110;381,970
7666;7666;2004;8;2004-08-18;LPNNXU LUIJUSUPEB;367,140;30,290;397,430
7667;7667;2004;8;2004-08-05;DKAUTP GOWDJHGJRS;167,260;13,800;181,060
7668;7668;2004;8;2004-08-07;QHFOUI OOJGBJNCMS;308,500;25,450;333,950
7669;7669;2004;8;2004-08-16;QKJLSZ CZMRONQBWD;366,260;30,220;396,480
7670;7670;2004;8;2004-08-03;TYMEXG VIBWBSPGUA;296,150;24,430;320,580
7671;7671;2004;8;2004-08-20;AGYZOH XEYVRGZLCC;36,840;3,040;39,880
7672;7672;2004;8;2004-08-16;AOUUOW FTRTUPRFTP;323,310;26,670;349,980
7673;7673;2004;8;2004-08-18;HGOYKK CEAKWWVPER;130,660;10,780;141,440
7674;7674;2004;8;2004-08-30;VOARPZ EJJNSAQQJL;37,650;3,110;40,760
7675;7675;2004;8;2004-08-26;VMAAAC PCAMIKRQAM;96,860;7,990;104,850
7676;7676;2004;8;2004-08-01;PANBAZ PKAPDPRUTW;191,750;15,820;207,570
7677;7677;2004;8;2004-08-16;SLWKIG NVZFVVSKAZ;368,160;30,370;398,530
7678;7678;2004;8;2004-08-27;YTPFOW LDZCYQCDZZ;35,130;2,900;38,030
7679;7679;2004;8;2004-08-06;BNWFEU MACJMSDNYF;106,760;8,810;115,570
7680;7680;2004;8;2004-08-18;TRLLQR SKCANJRPVV;226,330;18,670;245,000
7681;7681;2004;8;2004-08-05;DSSLNC CYPULYPVQK;109,370;9,020;118,390
7682;7682;2004;8;2004-08-01;LYXIPC QGTLSNQNBM;302,620;24,970;327,590
7683;7683;2004;8;2004-08-19;YJKCCC PZJXZFZESI;75,970;6,270;82,240
7684;7684;2004;8;2004-08-07;ZBDLRR HJJXPQJLCX;101,970;8,410;110,380
7685;7685;2004;8;2004-08-16;MBZCWO JBKKYNXWCR;299,290;24,690;323,980
7686;7686;2004;8;2004-08-19;AGLWZQ KVHLNPSSSW;2,360;0,190;2,550
7687;7687;2004;8;2004-08-07;WPNDNP NZTMSLMWEF;143,450;11,830;155,280
7688;7688;2004;8;2004-08-04;BCDERR WHBIOHQYNC;209,470;17,280;226,750
7689;7689;2004;8;2004-08-06;IUAXWN RXYGKFCEHX;322,440;26,600;349,040
7690;7690;2004;8;2004-08-13;WWJTXF IEPHDCDPPN;84,220;6,950;91,170
7691;7691;2004;8;2004-08-15;UIEHMA GTZCBGCIIA;149,020;12,290;161,310
7692;7692;2004;8;2004-08-23;EUTEDO MEPTQKJCZL;302,200;24,930;327,130
7693;7693;2004;8;2004-08-16;PLVKWY UHOOFMETVO;336,020;27,720;363,740
7694;7694;2004;8;2004-08-28;SJOXYT NQZPCGENST;276,140;22,780;298,920
7695;7695;2004;8;2004-08-01;SEZHNV QBPCVNIROJ;53,950;4,450;58,400
7696;7696;2004;8;2004-08-17;QPCTOG TXQJQEWYHS;41,010;3,380;44,390
7697;7697;2004;8;2004-08-25;SQCOUI UNIYFMSVAG;108,140;8,920;117,060
7698;7698;2004;8;2004-08-26;NYKLZA XAUSHLXLUU;2,930;0,240;3,170
7699;7699;2004;8;2004-08-24;CKNQTJ RLDARTGCRI;37,110;3,060;40,170
7700;7700;2004;8;2004-08-27;ANLWML HJSIIBWGVU;89,150;7,350;96,500
7701;7701;2004;8;2004-08-13;YFWMKH AGLVMXBWFI;29,770;2,460;32,230
7702;7702;2004;8;2004-08-08;CBIXLD TDKRGKMWHL;26,420;2,180;28,600
7703;7703;2004;8;2004-08-13;XQJHVI MPQMIWZBXW;103,870;8,570;112,440
7704;7704;2004;8;2004-08-19;WXXQDD HIJWSKDNIY;25,640;2,120;27,760
7705;7705;2004;8;2004-08-06;XMPCKR IVNDKVMDFK;129,380;10,670;140,050
7706;7706;2004;8;2004-08-30;ECVYMX YHJAZLMHMB;0,790;0,070;0,860
7707;7707;2004;8;2004-08-07;HHWCER RWUVYKZNNH;372,740;30,750;403,490
7708;7708;2004;8;2004-08-31;KYNKCE OUTAQCOKCV;176,970;14,600;191,570
7709;7709;2004;8;2004-08-23;PQLJDJ XALPJJJLTH;65,290;5,390;70,680
7710;7710;2004;8;2004-08-09;EWFCUN MYTMRCMHJK;181,180;14,950;196,130
7711;7711;2004;8;2004-08-30;EJHHAI FXIQCQQWSO;76,940;6,350;83,290
7712;7712;2004;8;2004-08-13;XPPIJN OEPVOYPVKJ;159,090;13,120;172,210
7713;7713;2004;8;2004-08-31;OGRSPB HQFCGSMGHD;382,080;31,520;413,600
7714;7714;2004;8;2004-08-01;CZVNVW UBEUKBTXLZ;78,860;6,510;85,370
7715;7715;2004;8;2004-08-21;EEKGOG GZCDBQCKGY;1,120;0,090;1,210
7716;7716;2004;8;2004-08-09;UQHIAO GBLRZUTIRR;100,390;8,280;108,670
7717;7717;2004;8;2004-08-20;GGQZPO CANUFYNXXC;13,620;1,120;14,740
7718;7718;2004;8;2004-08-10;HHASUX QCVPXRHEXB;14,410;1,190;15,600
7719;7719;2004;8;2004-08-07;RCZIKX DJWIUECQIR;293,660;24,230;317,890
7720;7720;2004;8;2004-08-02;JMGDYG MKDLUKIFUH;153,280;12,650;165,930
7721;7721;2004;8;2004-08-21;CGJSDB TMJLNOQJPA;359,610;29,670;389,280
7722;7722;2004;8;2004-08-05;KQMYNS XLWDSLJJST;318,570;26,280;344,850
7723;7723;2004;8;2004-08-26;POPEEB FZKPGRPZZC;175,330;14,460;189,790
7724;7724;2004;8;2004-08-17;DHRSFL EURLOFNSJE;340,190;28,070;368,260
7725;7725;2004;8;2004-08-29;VIBFOF RGMDGZUQVF;152,520;12,580;165,100
7726;7726;2004;8;2004-08-26;PWITZC IFRVOZXPBJ;111,790;9,220;121,010
7727;7727;2004;8;2004-08-29;GSNDRN FUHSUMVDRM;254,270;20,980;275,250
7728;7728;2004;8;2004-08-04;LKQEXI FWCPZIVQFW;348,530;28,750;377,280
7729;7729;2004;8;2004-08-12;ZMQSDC MHRVUNSGFS;238,720;19,690;258,410
7730;7730;2004;8;2004-08-24;DBBBNE OWKHAJLDCR;333,260;27,490;360,750
7731;7731;2004;8;2004-08-18;GEBDIV EAWZCRVHCY;327,800;27,040;354,840
7732;7732;2004;8;2004-08-07;TJBACH VVALRDIHDP;122,770;10,130;132,900
7733;7733;2004;8;2004-08-07;IIFEKS IONMANUGLI;68,950;5,690;74,640
7734;7734;2004;8;2004-08-10;THOIAP ATLNCYLPAN;9,920;0,820;10,740
7735;7735;2004;8;2004-08-24;JZZMUY NFHSQPYLDJ;210,260;17,350;227,610
